,title,body,answer
14,긍정으로 예측한 범주에서 실제로 긍정인 비율을 무엇이라고 하는가?,1 정확도/2 정밀도/3 민감도/4 재현율,2 정밀도
15,"독립변수들 간에 강한 상관관계가 나타나서,  회귀분석의 전제가정인 독립변수들 간에 상관관계가 높으면 안된다는 조건을 위배하는 경우를 의미하는 용어는?",1. 오버피팅/2. 다중공선성 /3. 불편량 증가/4. 확증편향,2. 다중공선성 
16,"모델의 파라미터값을 측정하기 위해 알고리즘 구현 과정에서 사용, 주로 알고리즘 사용자에 의해 결정, 경험에 의해 결정 가능한 값이며 모델 성능 향상을 위해 조절해주는 값은?",1 독립변수/2 종속변수/3 하이퍼파라미터/4 파라미터,3 하이퍼파라미터
17,분해시계열 분석에서 고정된 주기를 가지고 자료가 변화하는 요인은?,1 계절요인/2 순환요인/3 고정요인/4 반복요인,1 계절요인
18,잔차가 정규분포를 잘 따르고 있는지를 확인하는 그래프를 나타내는 용어로 잔차들이 그래프 선상에 있어야 이상적임을 나타낸다. 이는 무엇인가?,1. q-q /2. 추세선/3. Residual/4. grivaz,1. q-q 
19,"구글에서 대용량 데이터 처리를 분산 병렬 컴퓨팅에서 처리하기 위한 목적으로 제작, 발표한 소프트웨어 프레임워크이며  대용량 데이터를 신뢰도가 낮은 컴퓨터로 구성된 클러스터 환경에서 병렬 처리를 지원하기 위해서 개발된 것은?",1 하둡/2 맵 리듀스/3 오라클/4 마리아DB,2 맵 리듀스
20,"네트워크를 통해 센서 데이터 및 오디오, 비디오 등의 미디어 데이터를 실시간으로 수집하는 기술",1 스트리밍/2 센싱/3 네트워킹/4 업로딩,1 스트리밍
21,합리적의사방해 요소로서 문제의 표현방식에 따라 동일한 사건이나 상황임에도 불구하고 개인의 판단이나 선택이 달라질 수 있는 현상은?,1 간츠펠트 /2 게인 로스/3 고립 효과/4 프레이밍 효과,4 프레이밍 효과
22,변수의 차원을 감소하는 다변량분석 방법중 하나로 크로스칼의 스트레스 값을 통해 검증하며 개체들 사이의 유사성/비유사성을 측정하여 2차원 또는 3차원 공 간상에 표현하는방법은?,1. pca/2. 다차원척도법/3. 요인분석/4. emp,2. 다차원척도법
23,원격지 시스템 간에 파일을 공유하기 위한 서버-클라이언트 모델로 TCP/IP 기반으로 파일을 송-수신하는 응용계층 통신 프로토콜,1 API/2 FTP/3 socket/4hyper link,2 FTP
24,입력받는 값을 출력으로 0~1사이의 값으로 모두 정규화하여 출력값의 총합은 항상 1이되는 특성을 가진 활성화 함수는?,1. 계단함수/2. 시그모이드함수/3. 하이퍼볼릭 탄젠트 함수/4. 소프트 맥스 함수,4. 소프트 맥스 함수
25,정지규칙과 가지치기로 모델을 학습하며 다수의 독립변수 중에서 종속변수에 큰 영향을 미치는 변수를 탐색하는 기장 기본적인 모델은?,1. 의사결정나무/2. svm/3.logistic regression/4. cnn,1. 의사결정나무
26,일련의 개체 또는 사건들 간의 규칙을 발견하기 위해 사용되는 대표적인 정형 데이터 마이닝 기법은?,1 연관성 분석/2 회귀 분석/3 시계열 분석/4 군집 분석,1 연관성 분석
27,"다중공선성을 측정하는 지표로 알려져있으며, 독립 변수간 상관 관계가 있는지 정량적으로 나타내는 용어는?",1. 분산팽창요인 /2. 표본오차/3. AIC/4. R2,1. 분산팽창요인 
28,"인터넷상에서 제공되는 다양한 웹 사이트로부터 소셜 네트워크 정보, 뉴스, 게시판 등의 웹 문서 및 콘텐츠 수집 기술",1 크롤링/2 크록/3 FTP/4 다운로드,1 크롤링
29,데이터에 포함된 개인 식별 정보를 삭제하거나 알아볼 수 없는 형태로 변환하는 것을 의미하는 단어는?,1. 데이터 치환/2. 데이터 스킵/3. 데이터 익명화/4. 데이터 판단,3. 데이터 익명화
30,회귀모형 변수 선택시 도움이 되지 않는 변수들을 하나씩 제거하는 방법은?,1. 전진선택법/ 2. 후진제거법/3. 단계적 선택법/4. 임의선택법, 2. 후진제거법
31,"데이터 마이닝의 절차 중 데이터의 정제, 통합, 선택, 변환의 과정을 거친 구조화된 단계 로서 더 이상 추가적 절차 없이 데이터 마이닝 알고리즘 실험에서 활용가능한 상태를 나태내는 말은?",1. corpus/2. Term-Document Matrix/3. dictionary/4. sna,1. corpus
32,귀무가설이 참인데 잘못하여 이를 기각하게 되는 오류는?,1 제 1종 오류/2 제 2종 오류/3 알파 요인/4 베타 요인,1 제 1종 오류
33,M*N 차원의 행렬데이터에서 특이값을 추출하고 이를 통해 주어진 데이터 세트를 효과적으로 축약할 수 있는 차원 축소기법은?,1 tsne/2pca /3특이값 분해/4 robust cluster,3특이값 분해
34,"불순도의 측도로 출력변수가 범주형일 경우 지니지수를 이용, 연속형인 경우 분산을 이용한 이진분리를 사용하는 의사결정나무 알고리즘은?",1 로지스틱 회귀/2 CART/3 DART/4 지니분류,2 CART
35,회귀 모형의 평가 방법중 하나로 회귀제곱합을 총제곱합의 값으로 나눈 것은?,1. 결정계수/2. 상관계수/3. qq/4. 피어슨계수,1. 결정계수
36,센서로 부터 수집 및 생성된 데이터를 네트워크를 통해 수집 및 활용,1 api/2 FTP/3 센싱/4 크롤링,3 센싱
37,사용자의 요구에따라정보를 처리해주고 데이터베이스를 관리해주는 소프트웨어는?,1 DB/2 DBMS/3 DBSM/4 SMBD,2 DBMS
38,비선형관계의 상관정도나 이산형 변수에 관한 상관정도를 표현하는 상관계수는?,1. 피어슨/2. 젠슨/3. 스피어판/4. 브렛,3. 스피어판
39,다음 중 불균형 데이터 해결을 위한 샘플링 방법으로 적절하지 않은 것은?,1 SMOTE/2 ADASYN/3 언더샘플링/4 홀드아웃,4 홀드아웃
40,"단순분류, 확인 목적으로 숫자를 부여. 숫자 자체로서 가지는 의미는 없는 변수를 나타내는 용어는?",1. 서열 척도/2. 등간척도/3. 명목척도/4. 비율척도,3. 명목척도
41,커넥터(Connector)를 사용하여 관계형 데이터베이스(RDB)와 하둡 간 데이터 전송하는 기술,1 HIVE/2 스쿱/3 쿼리형/4 라바,2 스쿱
42,"대규모 분산 시스템 모니터링을 위해 에이전트(Agent)와 컬렉터(Colector) 구성을 통해 데이터를 수집하고, 수집된 데이터를 하둡 파일 시스템(HDFS)에 저장하는 기능을 제공하는 데이터 수집기술",1 척와/2 비욘/3 그램/4 미셔닝,1 척와
43,컴퓨터 단위를 나타낸다. 괄호안에 들어갈 단어는? 페타바이트 < 엑사바이트 < 제타바이트 < ()바이트,1. 헤타/2. 요타/3. 익사/4. 네타,2. 요타
44,"코호넨 네트워크라고도 불리는 인공신경망 일종의 비지도학습 방법이며, 클러스터링, 고차원시각화, 데이터압축, 특성추출 등의 용도로 사용되는 기법은?",1 자기 조직화지도 SOM/2 kmeans/3 PCA/4 RNN,1 자기 조직화지도 SOM
45,배깅의 개념과 속성의 임의선택을 결합한 앙상블 기법 § 예측변수들을 임의로 추출하고 추출된 변수 내에서 최적의 분할 을 만들어나가는 방법을 사용하는 방식의 모델은?,1. xgboost/2. 랜덤포레스트/3. lgbm/4. logistic regression,2. 랜덤포레스트
46,서로 다른 분류에 속한 데이터 간에 간격이 최대가 되는 선을 찾아 이를 초평면이라는 기준으로 하고 데이터를 분류하는 모델?,1.svm /2. 랜덤포레스트/3. 커널/4. 로지스틱 회귀,1.svm 
47,여러 개의 모형을 결합하여 개별 모형보다 좋은 예측성능을 얻는 분석 기법을 표현한 말은?,1 앙상블/2 층화/3 결합/4 군집,1 앙상블
48,"개체들 사이의 유사성, 비유사성을 측정하여 2차원 또는 3차원 공간상에 점으로 표현하여 개체들 사이의 집단화를 시각적으로 표현하는 분석 방법",1 인공신경망 /2 다차원 척도법/3 군집분석/4 리프티,2 다차원 척도법
49,"센서 데이터, HTTP 트랜잭션, 알람 등과 같이 네트워크를 통해서 실시간으로 전송되는 데이터를 칭하는 말",1 스트림 데이터/2 플러시 데이터/3 플로우 데이터/4 플러그인 데이터,1 스트림 데이터
50,다수의 서버로부터 실시간으로 스트리밍되는 로그 데이터를 수집하여 분산 시스템에 데이터를 저장하는 대용량 실시간 로그 수집 기술,1 사이파이(scipy)/2 옵셔닝(optioning)/3 겟리버티(get reverty)/4 스크라이브(scribe),4 스크라이브(scribe)
51,시계열에 영향을 주는 일반적인 요인을 시계열에서 분리해 분석하는 방법. 회귀분석적인 방법을 주로 사용하는 것을 의미 하는것은?,1. 이동평균법/2. 지수평활법/3. 분해 시계열/4. 자기 회귀이동평균,3. 분해 시계열
52,시계열모형중 과거시점의 관측자료와 과거시점의 백색잡음의 선형결합으로 현시점의 자료를 표현하는모형은?,1 자기회귀 이동평균모형/2 자기 상관모형/3 이동평균모형/4 주기상관모형,1 자기회귀 이동평균모형
53,빅데이터 저장 기술로 관계형 데이터베이스 관리 시스템으로 하나의 데이터베이스를 여러 개의 서버상에 구축하는 시스템은?,1 데이터베이스 클러스터/2 데이터베이스 클라우드/3데이터베이스 홀/4 데이터베이스 그룹,1 데이터베이스 클러스터
54,"데이터 안에 관찰할 수 없는 잠재적인 변수(Latent Variable)가 존재한다고 가정하는 차원축소기법, 모형을 세운 뒤 관찰 가능한 데이터를 이용하여 해당 잠재 요인을 도출하고 데이터 안의 구조를 해석하는 기법은?",1 pca/2 tsne/3 cluter/요인분석,요인분석
55,변수를 공분산 행렬이나 상관행렬을 이용하여 원래 데이터 특징을 잘 설명해주는 성분을 추출하기 위하여 고차원 공간의 표본들을 선형 연관성이 없는 저차원의 공간으로 변환하는 기법,1 PCA/2 Cluster/3 tsne/4 cohort,1 PCA
56,회귀모형 변수 선택시 개선도가 높은 변수를 차례로 추가는 방법은?,1. 전진선택법/ 2. 후진제거법/3. 단계적 선택법/4. 임의선택법,1. 전진선택법
57,텍스트마이닝의 전처리 과정 중에서 변형된 단어형태에서 접사 등을 제거하고 그 단어의 원형 또는 어간을 찾아내는 것,1 스태밍/2 배깅/3 토크나이징/4 리벌징,1 스태밍
58,주어진 데이터에서 마진을 최대화 하는 초평면을 구하는 방법으로 학습하는 알고리즘은?,1 랜덤포레스트/2 회귀분석/3 svm/4 배깅,3 svm
59,x의 편차와 y의 편차의 곱의 기댓값이며 두 변수 간의 선형관계에 대한 방향을 나타내는 용어는?,"1. 상관계수/2, 공분산/3. 표준오차/4. 표본오차","2, 공분산"
60,임계값을 기준으로 활성화되거나 혹은 비활성화되는 형태의 활성화 함수로0또는 1로 출력는 함수의 이름은 무엇인가?,1. 시그모이드/2. 계단함수/3. 하이퍼볼릭 탄젠트 함수/4. 소프트맥스,2. 계단함수
61,"임의개의 소집단의 중심좌표를 이용하여 각 객체와 중심좌표간의 거리를 산출하고, 가장 근접한 소집단에 배정한 후 해당 소집단의 중심좌표를 업데이트하는 방식으로 군집화하는 방식",1 k-평균 군집화/2 dbscan/3 Agglomerative clustering/4Spectral clustering,1 k-평균 군집화
62,"붓스트랩 표본을 구성하는 재표본 과정 에서 각 자료에 동일한 확률을 부여하는 것이 아니라, 분류가 잘 못된 데이터에 더 큰 가중을 주어 표본을 추출하는 앙상블 모형은?",1. 리샘플링/2. 배깅/3. 파셔닝/4. 부스팅,4. 부스팅
63,"대용량 실시간 로그 처리를 위해 기존 메시징 시스템과 유사하게 레코드 스트림을 발행, 구독하는 방식의 분산 스트리밍 플랫폼 기술",1 마리아DB/2 스파크/3 하둡/4 아파치 카프카,4 아파치 카프카
64,문장에서 사용된 단어의 긍정과 부정여부에 따라 얼마나 긍정적인 단어가 많은지 소스를 부여해 긍정 문장인지 평가하는 데이터 마이닝의 한종류는?,1. 연관분석/2. 군집분석/3. 감성분석/4. 워드클라우드,3. 감성분석
65,"사후확률의계산시조건부독립을가정하여계산을단순화한방 법으로, 사후확률이 큰 집단으로 새로운 데이터를 분류하는 모델은?",1. svm/2. 나이브 베이즈 분류모형/3. 가우시안 분류 모형/4. 랜덤포레스트,2. 나이브 베이즈 분류모형
66,시계열 분석에서 시점 t와 바로 전 시점인 t-1간의 상관관계를 의미하는 것은?,1. 자기 회귀/2. 자기 상관/3. 이동평균/4. 이동 상관,2. 자기 상관
67,적정 수준의 학습이 부족하여 실제 성능이 떨어지는 현상이며 데이터 수집 시 단편화된 방법으로 인한 학습 부족 현상을 나타내는 용어는?,1 과대적합/2 과소적합/3 오버피팅/4 로우스케일,2 과소적합
68,자연어 처리 기술을 이용해 인간의 언어로 쓰인 비정형  텍스트에서 유용한 정보를 추출하거나 다른 데이터와의 연관성을 파악하기 위한 방법,1 데이터마이닝/2 감성분석/3 연관분석/4 텍스트마이닝,4 텍스트마이닝
69,"이것은 데이터베이스의 구조와 제약조건에 관한 전반적인 명세를 의미하는 것으로서, 데이터베이스를 구성하는 데이터 개체(Entity), 속성(Attribute), 관계(Relationship) 및 데이터 조작 시 데이터 값들이 갖는 제약 조건 등에 관해 전반적으로 정의한다",1 스키마/2 DBMS/3 DB rules/4 정형규칙,1 스키마
70,"1-특이도로 계산되며, 실제로 부정인 범주에서 긍정으로 잘못예측한 비율을 무엇이라고 하는가?",1 recall/2 FPR/3 PFA/4 AUC,2 FPR
71,빅데이터 저장 기술로 컴퓨터 네트워크를 통해 공유하는 여러 호스트 컴퓨터의 파일에 접근할 수 있게 하는 파일 시스템은?,1 분산파일시스템/2 중앙파일시스템/3 직렬파일시스템/4 공유파일시스템,1 분산파일시스템
72,기존의 변수를 조합해 만든 새로운 변수로 특정 의미를 갖는 작위적 의미의 변수는?,1 독립변수/2 종속변수/3 파생변수/4 축소변수,3 파생변수
73,"수집 대상 데이터를 추출, 가공하여 데이터 웨어하우스 및 데이터마트에 저장하는 기술을 나타내는 단어는?",1 ETL/2 DBMS/3 WARE/4 DBQL,1 ETL
74,"프라이버시보호모델 중 특정인임을 추론할 수 있는지 여부를 검토, 일정 확률수준 이상 비식별되도록 하는 기법은?",1 z-익명성/2 k-익명성/3 w-익명성/4 m-익명성,2 k-익명성
75,데이터를 분리하는 초평면(Hyperlane) 중에서 데이터들과 거리가 가장 먼 초평면을 선택하여 분리하는 지도 학습 기반의 이진 선형 분류 모델은?,1 svm/2 randomforest/3 dnn/4 xgboost,1 svm
76,다차원의 데이터를 대화식으로 분석하기 위한 소프트웨어를 나타내는 용어는?,1. NLP/2. CRAP/3. OLAP/4. ZI,3. OLAP
77,최소 지지도보다 큰 집합만을 대상으로 높은 지지도를 갖는 품목 집합을 찾는 연관규칙을 찾는 대표적인 방법은?,1. em 알고리즘/2. apriori/3. som/4. cluter,2. apriori
78,"데이터를 저장하는 스토리지가 메인 메모리를 이용하는 방식의 데이터베이스 관리 시스템이며, 상대적으로 속도가 높은 성능을 보이는 것은?",1 아웃메모리 데이터베이스/2 중앙직렬 데이터베이스/3 인메모리 데이터 베이스/4 휘발 데이터 베이스,3 인메모리 데이터 베이스
79,원 데이터 집합으로 부터 크기가 같은 표본을 여러번 단순 임의 복원추출하여 각 표본에 대해 분류기를 생성한 후 그 결과를 앙상블하는 방법은?,1. 배깅/2. 부스팅/3. 홀드아웃/4. 흥화추출,1. 배깅
